EmployeeID,FirstName,LastName,Email,Phone,Department,JoiningDate,Salary
1816,Sarah,Williams,andrea88@foster-jackson.com,7076647097,Engineering,2021-08-25,80056.94
4659,Charlotte,Williams,angela88@gmail.com,861.772.4571x91110,Finance,2020-06-21,58444.48
2277,Eric,Nelson,james69@gmail.com,(408)333-6478x73834,Engineering,2023-05-21,113960.76
8911,John,Frye,jcarr@yahoo.com,719.411.4406,Sales,2021-03-07,55671.27
8791,Tammy,Crawford,uschroeder@jacobson.com,499-502-0233,HR,2022-10-17,108131.18
5656,Tami,Esparza,parkskelly@gmail.com,538.690.4803,Sales,2025-03-23,117227.15
4219,James,Hansen,april35@carlson.net,659-323-5727x045,Marketing,2020-06-14,112465.42
4085,Jennifer,Marquez,mark22@hotmail.com,667.549.8269x12021,IT,2025-01-05,31911.46
4465,Eugene,Elliott,angelacain@fernandez.org,369.744.7516,Engineering,2024-07-23,119654.12
6432,Renee,Rodriguez,hwilliamson@yahoo.com,001-296-754-8379,HR,2022-01-17,60379.02
4362,Kevin,Smith,cameronwalker@sosa.info,+1-902-752-3359x8240,IT,2024-07-03,52778.99
7989,Bailey,Gray,mevans@hotmail.com,448.593.7996x459,Finance,2021-01-16,101859.2
4501,Crystal,Hurley,ijones@yahoo.com,353-509-7410,HR,2024-05-12,109897.2
1425,Daniel,Hart,cruzlauren@holden.com,001-824-240-1649x1801,Finance,2024-02-17,53318.49
7963,Allen,Jones,markchandler@dickson.net,086.945.1184x379,IT,2023-06-09,69842.79
7852,Mary,Morales,amanda51@lane.com,(403)531-6743,HR,2023-04-15,104004.59
2096,Kristy,Dickson,cheryl90@flores.com,665-921-6621x3972,IT,2023-10-11,45324.32
7064,William,Matthews,sholloway@smith.net,001-905-327-9523x192,IT,2022-09-19,47363.96
8047,Luke,Carter,jessicanelson@gmail.com,+1-626-922-9887x52015,Sales,2022-08-01,98045.82
3270,Renee,Miles,justinjones@cooper.com,+1-588-009-3799x22582,Engineering,2025-04-29,103440.14
3684,Kathryn,Horne,boyererik@beasley.com,(360)384-2354x06994,HR,2022-11-06,72553.39
9801,Karen,Sanchez,pallen@williamson.com,(154)962-6862x953,Engineering,2022-05-07,101899.35
7617,Stephanie,Vincent,brooksaimee@yahoo.com,889.071.5705x066,IT,2023-01-31,87978.42
8646,Crystal,Peterson,fwilliams@blanchard.net,(648)488-5902,HR,2022-11-23,105905.51
4754,Jeffrey,Jackson,johnmoreno@hotmail.com,001-612-390-1186x05142,Sales,2023-06-23,105488.36
1746,Tanya,Rangel,hlloyd@hotmail.com,554.440.3624x559,HR,2021-02-13,90467.47
9206,Anthony,Ortiz,boneal@gmail.com,503.453.3371,IT,2024-01-15,103121.04
7515,Brian,Flores,jtrujillo@roberson-garcia.com,097-675-2311,IT,2021-06-16,36319.01
2672,Brian,Caldwell,rodriguezbrian@gomez.info,5051191901,IT,2021-03-11,97659.1
6062,Anna,Riley,qfields@lam-richmond.info,9628250760,Engineering,2022-01-20,75780.91
5071,Anne,Williams,anitamoore@gmail.com,669.358.7067x979,Finance,2024-11-06,101479.31
2692,Scott,Bell,cooknatalie@ray.com,918.334.1242x4509,IT,2020-12-12,104405.88
3786,Jennifer,Green,ywilson@gmail.com,+1-312-093-9363x804,Finance,2021-04-11,30499.71
3706,Kathy,Gardner,perezshannon@fox-allen.com,+1-605-591-5494x5659,Sales,2021-11-26,79239.27
5312,James,Reyes,kimberly79@martin-harper.com,865.510.6085,IT,2025-05-05,73119.89
5828,Katherine,Long,whiteelizabeth@crane-jones.com,409-044-8176,Engineering,2023-09-26,50510.05
6191,Margaret,Todd,byrdjorge@yahoo.com,434.826.4952,Engineering,2024-09-24,108148.28
2991,Nicholas,Gallegos,wanderson@gmail.com,001-080-882-7605,Engineering,2025-03-03,49354.19
3383,Olivia,Ortiz,todd10@jackson-wallace.info,001-299-770-7142x371,Sales,2022-05-21,107200.68
8861,David,Fisher,sandra94@yahoo.com,+1-466-818-2714x819,Sales,2022-09-29,70640.36
1891,Travis,Salazar,alison98@hotmail.com,001-017-124-6821,Sales,2023-10-11,98544.14
1868,Dustin,Avila,joseph30@richardson-buchanan.com,133.920.0239,Finance,2022-07-27,111802.65
1772,Tommy,Thompson,stevenserrano@berry.com,757.569.4845,IT,2025-01-04,117485.37
8332,Logan,Cisneros,brian01@yahoo.com,689-613-9157x20544,HR,2021-07-19,82688.98
4867,Joseph,Johnson,thompsonbrenda@barron.com,059.581.0721x41685,Sales,2023-02-28,53092.23
1609,Tanya,Perry,hallcorey@moore-garcia.com,(111)584-3551x352,Engineering,2020-12-05,33611.18
3218,Nicholas,Ortiz,hubbardkrystal@woodward-powell.net,116.038.9808,Sales,2023-04-14,107231.8
1872,Kayla,Wilcox,christopher27@yahoo.com,+1-297-375-8366x88741,Sales,2021-12-02,65606.68
6902,Jennifer,Dunn,thomas54@gmail.com,(094)183-4637x7255,IT,2024-04-15,92805.43
5541,Patrick,Harper,vchang@gmail.com,001-949-974-4455x5828,Finance,2024-04-16,118127.84
6996,Andrew,Johnson,hthomas@hotmail.com,532-740-1817,Finance,2024-03-12,92965.83
7743,Kayla,Galloway,freed@gmail.com,+1-571-203-8501x54229,HR,2022-11-21,113417.72
8266,Jean,Brewer,sandovalmaria@yahoo.com,001-495-389-0832x30686,Engineering,2023-05-12,76197.91
3618,Janet,Holmes,kevin04@quinn-wolfe.org,822.180.1697x73644,HR,2022-02-15,87278.29
4698,Elizabeth,Martin,audreymoreno@berry.com,656-936-6964x10842,Marketing,2022-07-25,53968.2
4179,Carl,Edwards,dglover@yahoo.com,001-181-325-3016x7919,Sales,2025-04-21,87854.54
2033,Alejandro,Edwards,uduncan@fleming-wood.com,886.020.3632,HR,2022-01-16,94060.44
1335,Kimberly,Burns,ahart@hotmail.com,+1-912-988-1380x814,HR,2025-01-17,76093.52
8576,Janet,Rowe,cooleytammy@hall.com,+1-517-719-8886x948,Sales,2022-01-24,108198.46
9436,Christopher,Donaldson,karinamahoney@yahoo.com,939-715-7672x977,Sales,2022-05-17,99552.61
9870,Juan,Long,sherry75@henry-torres.info,5274625338,HR,2024-08-22,61831.89
5979,Brandon,Esparza,frederickbrooks@tran.info,(768)204-2927x1572,Sales,2023-02-05,118958.88
5658,Kevin,Horton,adam66@wood.net,3826684070,Marketing,2023-06-25,70630.9
6773,Scott,Mercer,thomasvictoria@chavez-cole.com,758.877.7175,Finance,2024-08-13,69445.92
1288,James,Duke,staceyschmidt@moore.com,(916)938-8577x46135,HR,2023-04-02,114321.8
7538,Kayla,Carter,nicole31@turner.net,(364)132-7156x2649,Finance,2021-07-17,34896.35
7928,Alejandro,Keith,gillespiejared@hotmail.com,424-638-5125,IT,2024-08-13,93152.31
4413,Lindsey,Lowery,vharris@simmons.biz,975.036.1986x3459,IT,2021-12-04,71055.96
2547,Gabriela,Miller,antonio98@hotmail.com,7801309996,Engineering,2022-01-21,53459.66
9372,Mary,Morton,jennifer28@wilson-jones.net,001-900-994-2820x73720,HR,2023-10-22,38108.32
6980,Robert,Lowe,sandrafaulkner@lopez.com,001-966-587-2217,Engineering,2021-02-23,100466.92
8151,Robert,Jensen,zmccoy@simmons-french.biz,+1-922-052-9781x8947,Sales,2023-11-06,56003.33
3061,Kevin,Lopez,tyler08@gmail.com,396-883-0038,Finance,2022-04-15,92576.93
3700,Bethany,Jimenez,angela91@moore.com,260.735.1930x4642,Sales,2021-09-22,105907.73
8806,Steven,Wiggins,adamnelson@davis.com,+1-267-021-9198,Finance,2022-08-29,78714.09
8564,Amanda,Cole,frank40@kelly.com,(722)980-3668,Finance,2022-04-22,83383.09
9808,Terry,Ward,qreyes@williams.com,4136064893,Sales,2022-05-24,96750.35
2834,Scott,Leach,zfisher@allen.com,001-266-598-6533x23420,Marketing,2023-10-18,71715.31
9133,Patricia,Gardner,alisonlee@gmail.com,+1-808-799-2248x4707,HR,2022-07-11,81512.95
7707,Max,Montoya,maria68@yahoo.com,070.737.2679,IT,2022-09-13,38111.48
4700,Kathryn,Green,andrew98@gmail.com,264-302-7940x5268,Engineering,2023-01-06,119924.07
2102,Tiffany,Hahn,stephaniesosa@sanders.com,(506)445-6794x119,Finance,2023-06-30,105621.58
6761,Megan,Perkins,emilycox@bates-white.biz,161-153-6441x36675,Marketing,2020-08-01,52057.57
1947,Jacob,Blackburn,james43@gmail.com,(935)026-5157x614,IT,2021-03-10,106987.03
9922,Katrina,Torres,chelseasantiago@hotmail.com,010.865.9315x45464,Finance,2022-05-11,88152.74
6817,Craig,Chan,vhurst@hotmail.com,+1-876-228-3877x5207,IT,2022-05-31,57055.19
